1.1102,0.76242,9.8518,-9.6695,2.9999,0.60443,3.3584,1.7918,3.5334,1.8418,2.2056,2.7728,3.1395,2.0854,2.3988,4.0303,0.97107,1.1855,4.627,3.6914,4.0606,4.3238,4.9272,4.9504,5.9826,6.5622,5.6402,6.7865,6.2632,6.5572,6.7755,5.96,1.2561,1.6178,6.0598,4.512,2.9133,2.4165,3.9499,2.618,2.0555,2.2688,1.5919,2.175,1.86,1.298,2.0799,1.7785,3.0807,4.0365,10.728,9.3258,3.9544,3.4397,3.4543,2.9006,2.5405,4.4148,3.0234,3.0392,2.3147,2.0279,2.2042,1.5991,0.1725,4.6543,0.040751,4.5625,6.3283,0.72287,0.29003,0.62194
2.6004,2.3192,9.2587,-8.2556,1.5364,-0.21437,0.26878,1.3822,1.2449,0.13659,1.0118,1.9038,2.4361,3.3384,1.8792,3.7776,2.2311,2.4104,4.0224,2.2299,3.9607,3.4878,3.7695,3.3119,4.6418,5.555,5.3158,5.8569,5.9436,6.1164,5.5805,5.215,1.2656,2.3357,6.7775,0.68816,2.2442,0.97854,1.6957,1.3437,1.238,1.2853,0.99103,1.1253,0.95768,0.77392,0.82838,0.65501,2.7092,2.8205,21.006,7.7839,2.8189,1.9547,1.4859,1.6226,2.0959,1.5217,1.55,1.3285,1.1193,1.3655,1.302,0.70021,0.99719,4.7912,0.75398,4.6967,6.3283,1.0117,0.76289,1.0907
3.5325,2.3261,9.1158,-8.6053,1.3491,0.62799,2.1123,1.6889,1.3288,2.0695,1.5403,2.2794,1.8083,1.5273,1.3148,0.78647,2.785,1.9786,4.2014,3.0973,3.0103,3.193,4.2604,5.0567,5.1274,6.7945,6.3371,6.3083,6.921,7.3971,6.604,5.8574,2.7049,2.2523,5.7241,1.5268,1.6028,2.947,2.7726,3.8646,2.0646,3.1608,3.3008,1.4314,1.9307,1.6877,1.2393,1.2121,5.1564,2.7567,21.105,6.6218,3.1728,2.0067,2.2445,3.0414,2.3047,3.6558,2.852,2.0255,2.4691,2.0347,1.4849,1.4457,0.54611,4.1752,0,6.1393,9.4925,0.5557,0.12682,0.70168
1.3575,1.6945,10.092,-10.593,2.8113,0.63762,2.893,3.3327,2.0089,2.6697,1.5128,1.4489,2.7852,2.6841,2.1772,3.0854,1.6809,2.5872,5.2242,4.3047,3.4181,4.6776,4.621,4.6057,6.5802,7.5422,7.6139,8.3849,7.1099,7.3349,6.7318,6.3693,1.9278,3.3998,6.1155,2.2085,1.7754,3.5885,2.7783,2.4827,3.8968,2.2947,2.1216,2.0461,1.717,2.2154,1.7721,1.428,4.4204,5.0342,20.454,8.1012,3.4009,3.2591,3.1116,2.3562,4.4221,3.2642,4.0586,3.734,2.3829,2.276,2.3996,2.0608,0.14538,4.5174,0.56354,4.4283,6.3283,0.30286,0.66784,0.5385
2.3823,1.1979,8.6168,-12.36,2.6756,1.0459,1.4823,1.9841,1.9069,1.6179,2.6153,2.6369,3.7317,2.7024,2.0542,1.9091,1.2033,0.78633,3.4355,3.0464,2.7693,3.4249,2.9754,4.1439,5.1443,5.6046,6.463,8.3442,7.9788,9.4674,8.6337,7.4325,4.3682,4.3804,6.9535,4.2668,4.3074,3.9734,2.883,3.7062,3.8505,4.0038,4.1696,3.8837,3.8905,3.2311,4.1223,3.9051,4.8902,3.6969,21.503,9.9871,4.0691,2.9899,2.0223,2.9015,3.6336,3.7285,5.8147,7.3553,5.2711,5.3473,5.2805,3.2006,0.099059,6.8445,0.39297,6.7096,6.3283,0.57485,0.85795,1.0491
1.6756,0.94088,10.451,-9.2065,3.1849,1.2367,4.738,1.1214,2.1244,-0.47318,1.1125,-0.65831,1.3341,0.71451,2.0566,1.7519,2.0565,1.6763,5.4363,3.4687,4.0836,4.2465,4.2352,4.8162,6.5201,6.4887,6.7182,6.8296,6.342,6.5121,6.6085,6.0118,1.6391,1.5837,5.3104,2.1219,2.082,3.126,2.7346,2.5998,3.0891,3.9151,3.4944,2.9814,2.9959,2.1899,1.9915,2.086,5.0121,3.1652,19.871,9.2192,3.2711,4.0281,3.506,2.5459,3.2343,2.5732,3.3784,2.7558,3.1818,1.6722,2.053,1.2159,0.73914,4.3805,0.14697,4.2942,6.3283,1.1888,0.67882,0.99657
2.0473,1.2531,8.437,-9.0621,1.9558,1.1293,3.4018,1.1842,2.3822,2.1795,0.29499,1.8295,0.68218,3.5238,3.6751,1.8096,1.2372,1.109,3.489,2.4431,2.2929,3.5844,2.8447,3.6417,4.5364,4.8181,5.2645,5.2802,5.264,6.0015,6.3656,5.861,1.8463,1.6911,5.4071,1.501,1.1493,2.3953,1.6411,1.7815,1.3409,1.5965,1.3869,1.1148,1.1879,1.3361,1.6684,1.1085,3.2514,2.1821,21.522,7.4186,2.1469,2.116,2.0131,1.6831,2.1461,2.2435,1.7411,1.7512,1.4132,1.5927,1.7553,1.9159,0.56749,4.1067,0.97743,4.0258,6.3283,2.2253,1.1795,1.8148
1.4364,0.783,10.574,-9.0236,2.1973,0.88336,2.7065,3.321,3.4471,2.9158,2.6531,0.53085,1.9435,3.5468,3.1614,3.8073,1.2564,1.1916,5.0928,3.7435,3.876,4.2963,5.1348,6.5499,7.0157,8.7627,7.1697,7.8964,6.6941,6.6428,7.5843,5.974,1.992,1.354,6.2558,1.2606,1.5797,1.4613,2.1132,2.6562,1.9382,2.0208,1.6078,1.5499,1.2632,0.78957,1.2734,0.96477,4.8119,2.8924,20.266,7.2839,2.7752,2.6665,3.0066,4.2932,2.5295,3.0487,3.8747,2.3658,2.3607,1.6435,1.507,1.212,0.12804,3.6276,0.16303,3.5561,6.3283,0.69817,0.24167,0.50594
2.5997,2.5684,10.501,-10.053,1.1676,1.3304,2.7715,2.4014,2.9275,2.8867,2.8187,2.7354,3.4563,3.3371,2.807,3.3253,2.9368,3.0121,5.3682,4.1719,3.7942,4.3111,3.8353,4.6385,6.3521,5.7284,5.133,6.147,6.1825,6.5581,6.2703,5.8369,1.7088,1.6963,6.0712,1.3753,1.0624,1.6936,2.0285,1.2757,1.594,0.77265,0.83576,0.8576,1.0109,0.90562,1.1217,0.89112,2.6949,1.2817,20.206,7.7142,1.6461,1.9107,2.2958,1.9597,2.7562,1.6257,2.0734,1.5217,1.8802,1.2128,1.4147,1.7495,2.6393,4.5174,3.1541,4.4283,6.3283,3.331,3.3241,3.5826
1.2724,0.48455,7.9522,-10.968,5.4179,1.2583,1.6626,2.0961,1.0899,0.028871,1.2763,1.515,0.81946,1.1272,2.3019,2.8541,0.34113,0.17708,3.2715,2.1136,2.1385,2.3789,2.3041,3.155,3.6769,4.7978,4.594,5.0331,4.682,5.86,5.28,4.7365,1.3784,1.2193,5.5602,2.8816,3.2159,4.0089,2.0506,3.1156,2.0407,2.9547,2.71,2.9604,1.6119,2.0664,2.0005,1.7647,3.8013,2.5981,22.004,9.3164,5.1911,2.9418,2.295,2.2438,3.0865,3.8381,3.5834,3.5679,3.0845,3.746,2.1275,1.4153,0.087348,6.8445,0,6.7096,6.3283,0.24966,0.38035,0.38155
